Degree,Tau,Error
45.0,15.662072623605125,0.1135251540701971
48.0,16.823085701369397,0.15529328257986932
35.0,20.19874611285692,0.05064608055505661
50.0,10.973156311371389,0.1423561631633844
30.0,23.978330981736832,0.05814812604777471
40.0,17.655700445415537,0.03762320453475079
26.6,35.988510813610276,0.19272547025009856
